100
3
(5.0000, 0.0000, 3.5000, 501.0000)
(4.8831, 1.0749, 3.4416, 23.2251)
(4.5379, 2.0994, 3.2689, 12.6309)
(3.9805, 3.0259, 2.9902, 9.1278)
(3.2369, 3.8108, 2.6185, 7.4753)
(2.3420, 4.4176, 2.1710, 6.5959)
(1.3376, 4.8177, 1.6688, 6.1358)
(0.2707, 4.9927, 1.1353, 5.9577)
(-0.8089, 4.9341, 0.5955, 6.0159)
(-1.8507, 4.6449, 0.0747, 6.3249)
(-2.8059, 4.1384, -0.4030, 6.9688)
(-3.6300, 3.4385, -0.8150, 8.1664)
(-4.2843, 2.5778, -1.1421, 10.5138)
(-4.7383, 1.5965, -1.3691, 16.1837)
(-4.9707, 0.5406, -1.4853, 43.3302)
(-4.9707, -0.5406, -1.4853, -49.9585)
(-4.7383, -1.5965, -1.3691, -15.1655)
(-4.2843, -2.5778, -1.1421, -8.8901)
(-3.6300, -3.4385, -0.8150, -6.3779)
(-2.8059, -4.1384, -0.4030, -5.1148)
(-1.8507, -4.6449, 0.0747, -4.4408)
(-0.8089, -4.9341, 0.5955, -4.1186)
(0.2707, -4.9927, 1.1353, -4.0580)
(1.3376, -4.8177, 1.6688, -4.2436)
(2.3420, -4.4176, 2.1710, -4.7240)
(3.2369, -3.8108, 2.6185, -5.6475)
(3.9805, -3.0259, 2.9902, -7.4009)
(4.5379, -2.0994, 3.2689, -11.1984)
(4.8831, -1.0749, 3.4416, -23.3938)
(5.0000, -0.0000, 3.5000, 501.0000)
(11.0000, 11.0000, 10.0000, 10.0000)
(10.9766, 11.0000, 10.0000, 10.2150)
(10.9076, 11.0000, 10.0000, 10.4199)
(10.7961, 11.0000, 10.0000, 10.6052)
(10.6474, 11.0000, 10.0000, 10.7622)
(10.4684, 11.0000, 10.0000, 10.8835)
(10.2675, 11.0000, 10.0000, 10.9635)
(10.0541, 11.0000, 10.0000, 10.9985)
(9.8382, 11.0000, 10.0000, 10.9868)
(9.6299, 11.0000, 10.0000, 10.9290)
(9.4388, 11.0000, 10.0000, 10.8277)
(9.2740, 11.0000, 10.0000, 10.6877)
(9.1431, 11.0000, 10.0000, 10.5156)
(9.0523, 11.0000, 10.0000, 10.3193)
(9.0059, 11.0000, 10.0000, 10.1081)
(9.0059, 11.0000, 10.0000, 9.8919)
(9.0523, 11.0000, 10.0000, 9.6807)
(9.1431, 11.0000, 10.0000, 9.4844)
(9.2740, 11.0000, 10.0000, 9.3123)
(9.4388, 11.0000, 10.0000, 9.1723)
(9.6299, 11.0000, 10.0000, 9.0710)
(9.8382, 11.0000, 10.0000, 9.0132)
(10.0541, 11.0000, 10.0000, 9.0015)
(10.2675, 11.0000, 10.0000, 9.0365)
(10.4684, 11.0000, 10.0000, 9.1165)
(10.6474, 11.0000, 10.0000, 9.2378)
(10.7961, 11.0000, 10.0000, 9.3948)
(10.9076, 11.0000, 10.0000, 9.5801)
(10.9766, 11.0000, 10.0000, 9.7850)
(11.0000, 11.0000, 10.0000, 10.0000)
(-5.0000, 35.0000, 0.0000, 0.0000)
(-4.7662, 34.4155, 2.1666, 1.0749)
(-4.0758, 32.6894, 4.3332, 2.0994)
(-2.9609, 29.9023, 6.4998, 3.0259)
(-1.4739, 26.1847, 8.6665, 3.8108)
(0.3159, 21.7102, 10.8331, 4.4176)
(2.3247, 16.6882, 12.9997, 4.8177)
(4.4586, 11.3535, 15.1663, 4.9927)
(6.6178, 5.9555, 17.3329, 4.9341)
(8.7014, 0.7465, 19.4995, 4.6449)
(10.6119, -4.0297, 21.6662, 4.1384)
(12.2600, -8.1499, 23.8328, 3.4385)
(13.5686, -11.4214, 25.9994, 2.5778)
(14.4765, -13.6913, 28.1660, 1.5965)
(14.9414, -14.8534, 30.3326, 0.5406)
(14.9414, -14.8534, 32.4992, -0.5406)
(14.4765, -13.6913, 34.6658, -1.5965)
(13.5686, -11.4214, 36.8325, -2.5778)
(12.2600, -8.1499, 38.9991, -3.4385)
(10.6119, -4.0297, 41.1657, -4.1384)
(8.7014, 0.7465, 43.3323, -4.6449)
(6.6178, 5.9555, 45.4989, -4.9341)
(4.4586, 11.3535, 47.6655, -4.9927)
(2.3247, 16.6882, 49.8322, -4.8177)
(0.3159, 21.7102, 51.9988, -4.4176)
(-1.4739, 26.1847, 54.1654, -3.8108)
(-2.9609, 29.9023, 56.3320, -3.0259)
(-4.0758, 32.6894, 58.4986, -2.0994)
(-4.7662, 34.4155, 60.6652, -1.0749)
(-5.0000, 35.0000, 62.8319, -0.0000)
(-1.0000, -1.0000, -1.0000, -1.0000)
(0.7778, 0.7778, 0.7778, 0.7778)
(2.5556, 2.5556, 2.5556, 2.5556)
(4.3333, 4.3333, 4.3333, 4.3333)
(6.1111, 6.1111, 6.1111, 6.1111)
(7.8889, 7.8889, 7.8889, 7.8889)
(9.6667, 9.6667, 9.6667, 9.6667)
(11.4444, 11.4444, 11.4444, 11.4444)
(13.2222, 13.2222, 13.2222, 13.2222)
(15.0000, 15.0000, 15.0000, 15.0000)

